,accession,GI
0,['NR_110228.1'],['572153111']
1,['XR_001739254.1'],['1034618571']
2,['XR_001739253.1'],['1034618570']
3,['XR_922726.2'],['1034618361']
4,['XM_017003622.1'],['1034612532']
5,['NR_024468.1'],['213417729']
6,['XR_001739251.1'],['1034618568']
7,['NM_012293.3'],['1519314987']
8,['NR_168373.1'],['1841449324']
9,['NM_000547.6'],['1890295337']
10,['XM_017004364.1'],['1034614728']
11,['XR_922715.2'],['1034618561']
12,['NR_134520.1'],['970598276']
13,['XM_011529249.2'],['1034625215']
14,['NM_080792.3'],['1677490180']
15,['XR_001754470.2'],['1370481219']
16,['XR_001754467.1'],['1034626225']
17,['XM_017028189.1'],['1034626218']
18,['XR_001754472.1'],['1034626230']
19,['NR_037142.1'],['310750318']
20,['NR_164369.1'],['1741806162']
21,['NM_006065.5'],['1779541929']
22,['XM_011529286.2'],['1034625363']
23,['NR_110090.1'],['571026768']
24,['XR_001754459.1'],['1034626206']
25,['NM_178460.3'],['1519473569']
26,['XR_001754464.1'],['1034626211']
27,['XR_937198.2'],['1034626212']
28,['XM_011529221.2'],['1034625072']
29,['XM_011529302.2'],['1034625459']
30,['XR_937193.2'],['1034626205']
31,['NM_001199786.1'],['315139019']
32,['NR_037661.1'],['315139022']
33,['NR_040047.1'],['338797804']
34,['XM_011529402.2'],['1034626101']
35,['XM_006723603.2'],['768014177']
36,['NM_001009612.3'],['1653962599']
37,['XR_937192.2'],['1034626201']
38,['XM_017027923.1'],['1034625353']
39,['XM_011529281.2'],['1034625352']
40,['NM_001323409.2'],['1676318913']
41,['NR_136535.1'],['1019367194']
42,['XR_001754456.1'],['1034626202']
43,['XR_001754458.1'],['1034626204']
44,['NM_001029871.4'],['1519316080']
45,['XR_937185.2'],['1034626199']
46,['NM_015985.4'],['1519243968']
47,['XM_011529381.2'],['1034625910']
48,['NM_001370086.1'],['1624762673']
49,['NM_001324243.1'],['1023300832']
50,['XR_001754454.1'],['1034626198']
51,['NM_033129.4'],['1519311394']
52,['XR_001754452.1'],['1034626195']
53,['NM_080725.3'],['1677530305']
54,['XR_001754708.2'],['1370481167']
55,['NM_004609.4'],['1934152510']
56,['NM_177559.3'],['1519315419']
57,['NM_144628.4'],['1519311496']
58,['NM_031229.4'],['1677475632']
59,['NM_001323960.2'],['1890341887']
60,['XM_017027989.2'],['1370480783']
61,['XM_006723630.4'],['1370480965']
62,['XM_017028075.1'],['1034625855']
63,['XM_017028182.1'],['1034626184']
64,['NM_006943.4'],['1887789815']
65,['NR_109990.1'],['570359626']
66,['NM_033089.7'],['1653960776']
67,['NM_080571.2'],['1890261952']
68,['NM_207469.3'],['1519241769']
69,['NM_080831.4'],['1653961514']
70,['NM_001037732.3'],['1653960910']
71,['NM_139074.4'],['1653962156']
72,['NM_030931.4'],['1519315131']
73,['NM_153325.4'],['1653960914']
74,['NR_168328.1'],['1839363152']
75,['XR_002958520.1'],['1370455906']
76,['XR_001752729.1'],['1034602584']
77,['NM_001190489.1'],['299523059']
78,['XR_001747293.1'],['1034570633']
79,['XR_930828.2'],['1034570634']
80,['NR_148001.2'],['1700660588']
81,['NR_051997.1'],['390407645']
82,['XM_017016451.1'],['1034568936']
83,['NM_001352472.2'],['1890333823']
84,['XR_001747427.2'],['1370458351']
85,['NM_001329662.2'],['1676317223']
86,['XR_001747428.1'],['1034570943']
87,['NM_001278171.2'],['1676317785']
88,['NR_136709.2'],['1676453095']
89,['NM_001324259.2'],['1677499616']
90,['XR_930832.2'],['1034570946']
91,['NR_024524.1'],['214831164']
92,['NR_003086.1'],['104294875']
93,['NR_027269.2'],['1229385672']
94,['XR_002957075.1'],['1370458361']
95,['NR_024497.2'],['224177505']
96,['XR_001747294.1'],['1034570636']
97,['XR_001756330.1'],['1034676890']
98,['NR_045000.1'],['343403840']
99,['XR_946906.2'],['1034564377']
100,['XR_001737776.1'],['1034564375']
101,['XR_426643.3'],['1034564588']
102,['XR_946900.2'],['1370456104']
103,['XM_011541786.2'],['1034560219']
104,['NM_001042478.2'],['1675069774']
105,['XR_001737775.1'],['1034564374']
106,['NR_147025.1'],['1187955629']
107,['XR_946894.2'],['1034564373']
108,['NR_027088.1'],['224465247']
109,['XR_001737874.1'],['1034564581']
110,['XR_946892.2'],['1034564582']
111,['NR_040065.1'],['338827651']
112,['NR_147024.1'],['1187955636']
113,['NR_024455.1'],['213021183']
114,['XM_011541323.2'],['1034558054']
115,['XR_001737870.1'],['1034564575']
116,['XR_001737011.2'],['1370452150']
117,['NM_014704.4'],['1519315294']
118,['NM_020710.3'],['1519315514']
119,['NM_001163724.3'],['1830949196']
120,['XM_017000405.1'],['1034555804']
121,['NR_033711.1'],['297747267']
